"GTEX-UPK5-0426-SM-3GAEK" "GTEX-WFG7-2026-SM-3GIL7" "GTEX-UPJH-0226-SM-3GADV" "GTEX-WK11-2726-SM-3NMAQ" "GTEX-WY7C-2126-SM-3NB2R" "GTEX-WFON-1926-SM-3LK7L" "GTEX-X4EP-0626-SM-3P621" "GTEX-VJYA-1526-SM-3GIJV" "GTEX-WHSE-0126-SM-3NMBT" "GTEX-W5X1-2526-SM-3GILC" "GTEX-WHWD-1826-SM-3LK6I" "GTEX-V1D1-2026-SM-3GAF4" "GTEX-WH7G-2026-SM-3NMBL" "GTEX-WHSB-1326-SM-3LK6W" "GTEX-WHPG-2626-SM-3NMBR" "GTEX-WI4N-2726-SM-3LK7Y" "GTEX-WYJK-0526-SM-3NM8Z" "GTEX-WYBS-0626-SM-3NMAS" "GTEX-WEY5-2326-SM-3GIKK" "GTEX-X3Y1-2026-SM-3P5YM" "GTEX-WYVS-1626-SM-3NM9R" "GTEX-WRHU-2826-SM-3MJG8" "GTEX-WFG8-2126-SM-3GIKQ" "GTEX-XUJ4-1826-SM-4BOOU" "GTEX-1269C-0126-SM-5EQ5L" "GTEX-139T8-0626-SM-5KLZX" "GTEX-11ZUS-2626-SM-5FQUR" "GTEX-11DXZ-2026-SM-5987S" "GTEX-13FTW-0326-SM-5K7UW" "GTEX-VUSG-2326-SM-4KL1U" "GTEX-XV7Q-1826-SM-4BRUV" "GTEX-132AR-0326-SM-5KM2C" "GTEX-XBEC-0726-SM-4QARZ" "GTEX-11EQ8-0926-SM-5H12V" "GTEX-13OW8-1026-SM-5J1NQ" "GTEX-12BJ1-0926-SM-5EQ62" "GTEX-YEC3-1326-SM-4WWEL" "GTEX-Y8LW-1526-SM-5IFHL" "GTEX-13PDP-0726-SM-5L3HP" "GTEX-ZU9S-1826-SM-5NQ9E" "GTEX-ZAB5-2626-SM-5KM3Y" "GTEX-12ZZX-2426-SM-5GCOE" "GTEX-YF7O-1526-SM-5IFI6" "GTEX-Y8E4-2026-SM-5IFJB" "GTEX-ZPU1-1126-SM-4YCF3" "GTEX-ZYFD-0626-SM-5E44E" "GTEX-Y5V6-2326-SM-4VDSA" "GTEX-11EM3-1226-SM-5N9DD" "GTEX-11UD2-2526-SM-5CVNU" "GTEX-13O61-1426-SM-5KM3D"
"ENSG00000187961.9" 485 66 750 1115 828 1412 2679 497 880 375 626 699 925 1186 1064 970 1210 694 268 967 1256 1368 106 881 949 1696 759 860 1363 1395 1774 1280 1188 1073 1525 695 879 621 1413 1004 868 549 499 494 801 755 960 688 882 773
"ENSG00000187583.6" 991 399 3364 4336 3596 4839 8110 1635 1939 1647 3462 4686 4029 6429 5873 3948 3534 2550 1243 3057 4823 5557 359 2943 4517 4629 3607 4962 5715 4993 5029 3412 4131 1935 6360 2523 4696 2945 3559 3921 1489 2235 912 3646 3950 2447 2776 1954 3135 4962
"ENSG00000187642.5" 11 18 77 83 190 99 98 24 9 81 53 53 52 162 142 66 53 18 29 77 108 89 17 81 70 106 36 89 66 64 121 57 84 26 61 28 62 96 52 131 43 65 25 58 64 52 35 81 135 74
"ENSG00000272512.1" 198 16 324 699 860 440 672 240 77 100 52 606 396 174 75 74 599 71 183 466 225 932 58 217 279 115 286 133 522 680 358 1043 1400 109 666 691 291 657 109 1027 447 259 432 324 317 265 621 1290 104 186
"ENSG00000188290.6" 133 16 120 645 231 667 661 131 445 44 425 168 422 385 269 448 515 365 64 372 462 727 54 413 403 705 305 289 577 615 766 307 666 195 1030 317 526 185 390 1251 371 331 794 332 254 1486 598 650 511 323
"ENSG00000231702.2" 0 0 0 4 0 5 1 0 0 0 0 2 1 0 0 0 3 1 0 1 5 5 0 2 3 3 2 0 0 1 1 3 1 0 3 2 0 0 1 0 1 0 1 1 0 0 4 2 2 0
"ENSG00000224969.1" 1 0 1 5 2 3 5 15 1 0 8 0 0 3 2 3 0 0 0 10 7 6 0 3 1 1 1 9 1 7 4 7 12 3 0 3 2 9 0 8 6 0 4 1 10 3 2 5 8 4
"ENSG00000187608.5" 88 14 71 334 333 239 1888 215 269 156 125 41 224 82 326 244 260 442 35 273 521 406 24 127 181 364 262 159 397 304 191 239 355 198 240 107 129 119 152 520 812 148 142 182 306 482 211 164 212 125
"ENSG00000188157.9" 3356 527 3864 12485 10942 11306 10671 6786 7216 3561 9299 4232 8239 5179 9405 7206 8190 6698 1464 8323 9003 12696 1073 3362 6317 8253 7222 6490 5367 7843 7487 7381 6121 4419 7559 4118 6975 4012 5549 6399 6554 4732 6475 9444 7589 8030 2921 5239 6693 4101
"ENSG00000242590.1" 185 28 142 542 456 384 512 260 268 134 365 182 376 246 418 386 393 267 49 330 389 513 44 146 278 332 340 253 222 362 334 393 276 194 362 179 298 211 212 367 229 195 236 396 330 383 266 214 305 179
"ENSG00000217801.5" 70 11 179 206 115 95 223 109 156 69 80 249 79 177 172 129 238 98 44 122 191 142 13 97 141 101 62 89 158 141 125 73 202 145 247 105 66 111 127 210 38 73 55 94 113 218 237 122 154 136
"ENSG00000273443.1" 0 0 0 8 3 9 7 2 26 4 2 13 0 10 8 8 12 5 1 3 6 10 2 4 10 2 2 1 4 1 3 0 14 7 7 0 2 6 3 1 1 4 1 5 3 23 0 11 11 5
